my_rowid,current_status,timestamp_created,threshold,interpreter_class,interpreter_class2,interpreter_certainty,interpreter_certainty2,interpreter_class_id,interpreter_class2_id,certainty_threshold
197,evaluated,2022-02-12 10:55:55.369369,2000,music,shout,99,0,3,4,50
198,evaluated,2022-02-12 10:55:59.846566,2000,music,ambience,69,23,3,0,50
199,evaluated,2022-02-12 10:56:03.166720,2000,ambience,footsteps,88,7,0,1,50
200,evaluated,2022-02-12 10:56:05.518558,2000,music,ambience,88,11,3,0,50
201,evaluated,2022-02-12 10:56:08.890948,2000,music,shout,99,0,3,4,50
202,evaluated,2022-02-12 10:56:22.911639,2000,footsteps,shout,99,0,1,4,50
203,evaluated,2022-02-12 10:56:27.085171,2000,footsteps,music,94,4,1,3,50
204,evaluated,2022-02-12 10:56:30.633526,2000,footsteps,music,89,8,1,3,50
205,evaluated,2022-02-12 10:56:32.730578,2000,music,horn,94,4,3,2,50
206,evaluated,2022-02-12 10:56:36.330949,2000,footsteps,ambience,99,0,1,0,50
207,evaluated,2022-02-12 10:56:39.903821,2000,music,horn,83,10,3,2,50
208,evaluated,2022-02-12 10:56:43.901097,2000,footsteps,shout,99,0,1,4,50
209,evaluated,2022-02-12 10:56:47.425956,2000,footsteps,music,98,1,1,3,50
210,evaluated,2022-02-12 10:56:48.472531,2000,music,horn,92,6,3,2,50
211,evaluated,2022-02-12 10:56:49.797158,2000,music,horn,99,0,3,2,50
212,evaluated,2022-02-12 10:57:00.568916,2000,horn,ambience,51,32,2,0,50
213,evaluated,2022-02-12 10:57:04.117404,2000,music,horn,96,3,3,2,50
214,evaluated,2022-02-12 10:57:07.666310,2000,music,shout,66,22,3,4,50
215,evaluated,2022-02-12 10:57:11.214336,2000,horn,shout,86,13,2,4,50
216,deleted,2022-02-12 10:57:27.329279,2000,horn,music,47,44,2,3,50
217,evaluated,2022-02-12 10:57:31.179840,2000,music,horn,92,3,3,2,50
218,evaluated,2022-02-12 10:57:34.753323,2000,ambience,music,64,24,0,3,50
219,evaluated,2022-02-12 10:57:38.276301,2000,music,horn,76,14,3,2,50
220,evaluated,2022-02-12 10:57:41.825120,2000,music,shout,98,1,3,4,50
221,evaluated,2022-02-12 10:57:45.748383,2000,music,horn,92,6,3,2,50
222,evaluated,2022-02-12 10:57:49.397330,2000,music,horn,64,27,3,2,50
223,evaluated,2022-02-12 10:57:53.394355,2000,music,horn,64,13,3,2,50
224,evaluated,2022-02-12 10:57:57.139843,2000,music,horn,74,23,3,2,50
225,deleted,2022-02-12 10:58:01.141956,2000,horn,music,49,26,2,3,50
226,evaluated,2022-02-12 10:58:04.864995,2000,music,horn,91,7,3,2,50
227,evaluated,2022-02-12 10:58:06.988322,2000,shout,music,50,24,4,3,50
228,evaluated,2022-02-12 10:58:08.511144,2000,music,horn,95,3,3,2,50
229,evaluated,2022-02-12 10:58:10.161502,2000,music,horn,96,1,3,2,50
230,deleted,2022-02-12 10:58:15.459891,2000,horn,music,33,33,2,3,50
231,deleted,2022-02-12 10:58:19.233254,2000,horn,music,35,29,2,3,50
232,evaluated,2022-02-12 10:58:21.930833,2000,music,horn,51,28,3,2,50
233,evaluated,2022-02-12 10:58:25.454558,2000,music,horn,80,12,3,2,50
234,evaluated,2022-02-12 10:58:30.278353,2000,horn,music,66,32,2,3,50
235,evaluated,2022-02-12 10:58:33.802227,2000,music,horn,85,13,3,2,50
236,evaluated,2022-02-12 10:58:37.448967,2000,horn,music,64,31,2,3,50
237,evaluated,2022-02-12 10:58:41.222922,2000,horn,shout,60,21,2,4,50
238,evaluated,2022-02-12 10:58:43.696010,2000,music,shout,98,1,3,4,50
239,evaluated,2022-02-12 10:58:46.844685,2000,music,ambience,85,10,3,0,50
240,evaluated,2022-02-12 10:58:51.394641,2000,footsteps,music,99,0,1,3,50
241,evaluated,2022-02-12 10:58:53.091412,2000,music,horn,98,0,3,2,50
242,evaluated,2022-02-12 10:58:55.190952,2000,music,ambience,99,0,3,0,50
243,evaluated,2022-02-12 10:58:58.741088,2000,footsteps,music,99,0,1,3,50
244,evaluated,2022-02-12 10:59:02.264327,2000,footsteps,ambience,99,0,1,0,50
245,evaluated,2022-02-12 10:59:05.812255,2000,footsteps,ambience,99,0,1,0,50
246,evaluated,2022-02-12 10:59:09.361388,2000,footsteps,ambience,96,3,1,0,50
247,evaluated,2022-02-12 10:59:13.080639,2000,footsteps,ambience,99,0,1,0,50
248,evaluated,2022-02-12 10:59:16.932497,2000,footsteps,shout,99,0,1,4,50
249,evaluated,2022-02-12 10:59:20.979081,2000,footsteps,shout,99,0,1,4,50
250,evaluated,2022-02-12 10:59:24.499543,2000,footsteps,music,82,17,1,3,50
251,evaluated,2022-02-12 10:59:28.150623,2000,footsteps,music,95,3,1,3,50
252,evaluated,2022-02-12 10:59:31.750881,2000,footsteps,ambience,85,8,1,0,50
253,evaluated,2022-02-12 10:59:35.547850,2000,footsteps,ambience,99,0,1,0,50
254,evaluated,2022-02-12 10:59:41.095817,2000,music,footsteps,84,12,3,1,50
255,evaluated,2022-02-12 10:59:45.194076,2000,music,shout,98,0,3,4,50
256,deleted,2022-02-12 10:59:48.767728,2000,ambience,music,48,46,0,3,50
257,evaluated,2022-02-12 10:59:52.566669,2000,footsteps,music,84,12,1,3,50
258,evaluated,2022-02-12 10:59:56.114521,2000,music,footsteps,57,20,3,1,50
259,evaluated,2022-02-12 10:59:59.635081,2000,footsteps,music,62,23,1,3,50
260,evaluated,2022-02-12 11:00:03.286809,2000,footsteps,shout,99,0,1,4,50
261,evaluated,2022-02-12 11:00:07.034249,2000,footsteps,music,89,7,1,3,50
262,evaluated,2022-02-12 11:00:10.656970,2000,music,footsteps,83,15,3,1,50
263,evaluated,2022-02-12 11:00:14.183515,2000,footsteps,music,50,27,1,3,50
264,evaluated,2022-02-12 11:00:17.779436,2000,music,ambience,55,25,3,0,50
265,evaluated,2022-02-12 11:00:21.502641,2000,ambience,music,68,24,0,3,50
266,deleted,2022-02-12 11:00:25.026062,2000,ambience,footsteps,48,28,0,1,50
267,evaluated,2022-02-12 11:00:28.574805,2000,footsteps,music,96,2,1,3,50
268,evaluated,2022-02-12 11:00:32.147294,2000,footsteps,shout,99,0,1,4,50
269,evaluated,2022-02-12 11:00:35.669669,2000,footsteps,music,99,0,1,3,50
270,evaluated,2022-02-12 11:00:39.319211,2000,footsteps,shout,99,0,1,4,50
271,evaluated,2022-02-12 11:00:40.418264,2000,music,shout,99,0,3,4,50
272,evaluated,2022-02-12 11:00:44.016667,2000,footsteps,ambience,86,7,1,0,50
273,evaluated,2022-02-12 11:00:48.965283,2000,footsteps,shout,99,0,1,4,50
274,deleted,2022-02-12 11:00:51.038141,2000,music,footsteps,47,29,3,1,50
